100%|██████████| 6069/6069 [15:39<00:00,  6.46it/s]
+---------------+-----------------+-------------------+------------------+------+-------+----------+-----------+-------+----------------+------+------+-----+------------------+
|      Name     |        sp       |         ra        |       dec        | teff |  vmag | distance |  diameter |  rot  | Hrs of X < 1.5 | N<15 | N<12 | N<9 |      Start       |
|   HD 136174   |       A1Vn      | 228.7152091576755 | 68.9457287746606 | 9120 |  6.52 | 234.6261 |     --    | 238.0 |      6.4       |  2   |  1   |  0  | 2022-06-20 20:28 |
|   HD 136751   |       F3V       | 230.1736672456466 | 44.4343774576927 | 6950 |  6.14 | 57.0659  |     --    |  72.7 |      5.7       |  3   |  0   |  0  | 2022-06-20 20:28 |
|   HD 139389   |       F5V:      | 234.2226173470533 | 29.991183463318  | 6568 |  6.46 | 35.3811  |     --    |   --  |      5.4       |  2   |  1   |  0  | 2022-06-20 20:28 |
|   HD 139493   |       A2V       | 233.9876531986745 | 54.6304865784846 | 9120 |  5.79 |  74.056  |     --    | 199.0 |      6.3       |  2   |  0   |  0  | 2022-06-20 20:28 |
|   HD 139798   |       F2V       | 234.5676826401896 | 46.7977386675433 | 6904 | 5.742 | 35.6758  |     --    |  64.8 |      6.1       |  5   |  0   |  0  | 2022-06-20 20:28 |
|   HD 141352   |       F6V       | 236.9198563669336 | 28.4694521427585 | 6625 | 7.428 | 93.6224  |     --    |   --  |      5.5       |  3   |  0   |  0  | 2022-06-20 20:28 |
|   HD 145622   |       A3V       | 240.8806183764815 | 76.7939430117061 | 8892 |  5.73 | 168.7023 |     --    | 128.0 |      7.5       |  4   |  1   |  0  | 2022-06-20 20:28 |
|   HD 145674   |       A1V       | 242.2621053801326 | 57.9378592670516 | 9863 |  6.33 | 132.1598 |     --    | 212.0 |      7.0       |  5   |  1   |  0  | 2022-06-20 20:28 |
|   HD 147321   |       A3V       | 243.6393553004809 | 73.3948908491772 | 9036 | 6.016 | 196.0361 |     --    | 128.0 |      7.6       |  4   |  1   |  0  | 2022-06-20 20:28 |
|   HD 147365   |       F4V       | 244.9797588530749 | 39.7085829668435 | 6722 |  5.48 | 27.0364  |     --    |  72.5 |      6.5       |  2   |  1   |  0  | 2022-06-20 20:28 |
|   HD 149650   |       A2V       | 248.1069956110505 | 60.8233016677948 | 9141 |  5.91 | 114.7092 |     --    | 102.0 |      7.5       |  4   |  0   |  0  | 2022-06-20 20:28 |
|   HD 151199   |      A2VpSr     | 250.7435859677333 | 55.6901198739651 | 8690 | 6.172 | 94.4706  |     --    |  57.0 |      7.5       |  5   |  1   |  0  | 2022-06-20 20:28 |
|   HD 151613   |       F2V       | 251.3245050484816 | 56.7818884605818 | 6719 | 4.837 | 25.4497  |     --    |  47.5 |      7.6       |  4   |  0   |  0  | 2022-06-20 20:28 |
|   HD 151862   |       A1V       | 252.3944070505173 | 13.2611363998528 | 9397 |  5.91 | 91.0051  |     --    |  81.0 |      5.7       |  7   |  1   |  0  | 2022-06-20 20:28 |
|   HD 152303   |       F4V       |  250.776208660017 |  77.5139694861   | 6573 |   --  | 36.0466  |     --    |  23.5 |      8.1       |  5   |  2   |  0  | 2022-06-20 20:28 |
|   HD 154099   |       F0V       | 254.0697280747739 | 73.1278662106029 | 7534 |  6.29 | 102.5525 |     --    | 180.0 |      8.2       |  2   |  0   |  0  | 2022-06-20 20:28 |
|   HD 154431   |       A6V       | 255.9732407144777 | 34.7902228521538 | 7816 |  6.07 | 55.5611  |     --    | 123.0 |      7.1       |  2   |  0   |  0  | 2022-06-20 20:28 |
|   HD 156295   |       A7V       | 258.1357545386927 | 62.8743315480167 | 7834 |  5.54 | 43.9443  |     --    | 107.4 |      8.2       |  3   |  0   |  0  | 2022-06-20 20:28 |
|   HD 156653   |       A1V       |  259.520566257902 | 17.3178704857496 | 9484 | 5.992 | 160.4827 |     --    |  43.0 |      6.4       |  3   |  0   |  0  | 2022-06-20 20:28 |
|   HD 157373   |       F4V       | 260.1406444930515 | 48.1887805446631 | 6543 |   --  | 38.3849  |     --    |   --  |      7.9       |  3   |  1   |  0  | 2022-06-20 20:28 |
|   HD 158485   |       A4V       | 261.5201542476626 | 58.6518975961586 | 8433 | 6.494 | 120.2299 |     --    | 191.0 |      8.3       |  4   |  0   |  0  | 2022-06-20 20:28 |
|   HD 161693   |       A2V       | 265.9965436904878 | 53.801712147197  | 9226 |  5.76 | 139.9854 |     --    | 170.0 |      8.4       |  5   |  0   |  0  | 2022-06-20 20:28 |
|   HD 162132   |       A2Vs      | 266.7834669341684 | 47.6122485364134 | 8831 | 6.465 | 122.3511 |     --    |  40.0 |      8.4       |  3   |  1   |  0  | 2022-06-20 20:28 |
|   HD 165358   |       A2V       | 270.7870600155665 | 48.4642755781775 | 9036 | 6.243 | 159.7112 |     --    | 119.0 |      8.6       |  5   |  2   |  1  | 2022-06-20 20:28 |
|   HD 166988   |       A3V       | 272.9380125416302 | 33.4470563414312 | 9594 |  5.97 | 213.8489 |     --    | 154.0 |      8.1       |  2   |  0   |  0  | 2022-06-20 20:28 |
|   HD 167387   |      A1Vnn      | 272.7798112905247 | 60.4095317623308 | 9772 |  6.5  | 159.0432 |     --    | 212.0 |      9.1       |  4   |  0   |  0  | 2022-06-20 20:28 |
|   HD 168092   |     F0V+F0V     | 273.6708249964453 | 56.5882411965274 | 6943 | 6.659 | 104.5599 |     --    |   --  |      9.1       |  4   |  2   |  0  | 2022-06-20 20:28 |
